train_loss,train_accuracy,valid_loss,valid_accuracy
0.2061,0.9218,0.1393,0.9470
0.1960,0.9254,0.1022,0.9606
0.1189,0.9522,0.0879,0.9627
0.0711,0.9673,0.0673,0.9727
0.0774,0.9648,0.0962,0.9627
0.0644,0.9697,0.0600,0.9727
0.0530,0.9764,0.0671,0.9711
0.0474,0.9764,0.0491,0.9811
0.0489,0.9783,0.0569,0.9785
0.0547,0.9738,0.0522,0.9795
0.0414,0.9789,0.0861,0.9758
0.0506,0.9764,0.0725,0.9727
0.0410,0.9782,0.0632,0.9758
0.0669,0.9725,0.0898,0.9653
0.0508,0.9762,0.0644,0.9748
0.0348,0.9805,0.0773,0.9706
0.0293,0.9841,0.0629,0.9753
0.0390,0.9824,0.0718,0.9716
0.0410,0.9810,0.0576,0.9785
0.0725,0.9773,0.1641,0.9328
0.0745,0.9696,0.0637,0.9758
0.0452,0.9805,0.0504,0.9811
0.0286,0.9852,0.0502,0.9795
0.0190,0.9876,0.0483,0.9800
0.0434,0.9831,0.0773,0.9774
0.0403,0.9831,0.0702,0.9711
0.0309,0.9859,0.0480,0.9816
0.0330,0.9850,0.0593,0.9806
0.0174,0.9901,0.0640,0.9811
0.0285,0.9878,0.0547,0.9769
0.0256,0.9860,0.0664,0.9774
0.0220,0.9882,0.0775,0.9732
0.0183,0.9897,0.0589,0.9800
0.0174,0.9908,0.1473,0.9606
0.0451,0.9820,0.1020,0.9653
0.0403,0.9828,0.0615,0.9795
0.0233,0.9912,0.0722,0.9753
0.0164,0.9915,0.0564,0.9795
0.0236,0.9907,0.0660,0.9790
0.0199,0.9894,0.0553,0.9832
0.0132,0.9917,0.0676,0.9811
0.0132,0.9913,0.0494,0.9795
0.0145,0.9933,0.0678,0.9795
0.0240,0.9884,0.0517,0.9816
0.0573,0.9826,0.0566,0.9800
0.0192,0.9903,0.0813,0.9748
0.0179,0.9894,0.0788,0.9769
0.0141,0.9915,0.0991,0.9737
0.0161,0.9931,0.0699,0.9743
0.0223,0.9908,0.0747,0.9774
0.0100,0.9957,0.0655,0.9827
0.0069,0.9964,0.0601,0.9837
0.0061,0.9966,0.0629,0.9842
0.0056,0.9961,0.0613,0.9837
0.0048,0.9976,0.0606,0.9842
0.0051,0.9964,0.0623,0.9832
0.0045,0.9967,0.0609,0.9821
0.0044,0.9978,0.0622,0.9816
0.0042,0.9971,0.0628,0.9832
0.0029,0.9985,0.0639,0.9842
0.0034,0.9980,0.0642,0.9837
0.0033,0.9978,0.0687,0.9837
0.0025,0.9985,0.0665,0.9858
0.0020,0.9986,0.0678,0.9858
0.0028,0.9977,0.0705,0.9853
0.0032,0.9977,0.0675,0.9842
0.0041,0.9980,0.0649,0.9837
0.0021,0.9983,0.0669,0.9837
0.0018,0.9986,0.0702,0.9848
0.0016,0.9989,0.0710,0.9853
0.0026,0.9980,0.0765,0.9837
0.0021,0.9987,0.0805,0.9853
0.0017,0.9986,0.0730,0.9842
0.0022,0.9985,0.0710,0.9853
0.0012,0.9992,0.0840,0.9848
0.0018,0.9985,0.0806,0.9842
0.0022,0.9983,0.0826,0.9848
0.0021,0.9985,0.0820,0.9832
0.0031,0.9982,0.0740,0.9832
0.0019,0.9990,0.0886,0.9832
0.0012,0.9995,0.0824,0.9832
0.0008,0.9994,0.0871,0.9842
0.0016,0.9989,0.0810,0.9842
0.0014,0.9987,0.0875,0.9853
0.0009,0.9992,0.0848,0.9848
0.0022,0.9983,0.1000,0.9811
0.0019,0.9986,0.0899,0.9837
0.0018,0.9989,0.0851,0.9837
0.0016,0.9990,0.0797,0.9858
0.0010,0.9995,0.0842,0.9853
0.0004,0.9999,0.0940,0.9858
0.0005,0.9997,0.0855,0.9869
0.0007,0.9995,0.0931,0.9837
0.0012,0.9987,0.0863,0.9853
0.0020,0.9986,0.0972,0.9842
0.0012,0.9991,0.0898,0.9858
0.0015,0.9995,0.0846,0.9874
0.0018,0.9989,0.0943,0.9842
0.0019,0.9986,0.0846,0.9858
0.0010,0.9992,0.0853,0.9858
