train_loss,train_accuracy,valid_loss,valid_accuracy
0.2734,0.8808,0.1343,0.9380
0.1334,0.9437,0.1335,0.9433
0.1081,0.9572,0.1090,0.9632
0.1069,0.9535,0.0853,0.9669
0.0790,0.9670,0.0702,0.9669
0.1481,0.9423,0.0943,0.9648
0.0837,0.9624,0.0760,0.9669
0.0709,0.9694,0.0782,0.9617
0.0606,0.9705,0.0819,0.9664
0.0669,0.9701,0.0806,0.9653
0.0542,0.9766,0.0607,0.9732
0.0495,0.9768,0.0724,0.9711
0.0440,0.9798,0.0855,0.9680
0.0438,0.9763,0.0763,0.9701
0.0352,0.9828,0.1093,0.9632
0.0399,0.9792,0.0653,0.9727
0.0403,0.9795,0.0590,0.9774
0.0397,0.9818,0.0935,0.9622
0.0368,0.9791,0.0604,0.9753
0.0285,0.9840,0.0763,0.9674
0.0386,0.9827,0.0794,0.9690
0.0199,0.9884,0.0709,0.9732
0.0406,0.9812,0.0787,0.9685
0.0238,0.9870,0.0778,0.9716
0.0306,0.9827,0.0905,0.9685
0.0324,0.9846,0.0684,0.9727
0.0248,0.9851,0.0678,0.9753
0.0294,0.9860,0.0963,0.9622
0.0248,0.9885,0.0777,0.9711
0.0216,0.9890,0.0786,0.9764
0.0194,0.9884,0.0617,0.9753
0.0142,0.9924,0.0818,0.9785
0.0197,0.9907,0.0668,0.9764
0.0279,0.9854,0.0732,0.9706
0.0303,0.9876,0.0841,0.9732
0.0182,0.9908,0.0775,0.9701
0.0148,0.9925,0.0878,0.9727
0.0175,0.9904,0.0884,0.9701
0.0264,0.9880,0.0654,0.9748
0.0202,0.9903,0.0708,0.9774
0.0236,0.9883,0.0669,0.9769
0.0132,0.9925,0.1011,0.9716
0.0176,0.9926,0.0748,0.9785
0.0257,0.9887,0.0925,0.9690
0.0209,0.9903,0.0960,0.9727
0.0150,0.9910,0.0975,0.9674
0.0155,0.9925,0.0908,0.9779
0.0111,0.9935,0.0985,0.9753
0.0313,0.9868,0.0965,0.9690
0.0121,0.9926,0.1105,0.9706
0.0094,0.9949,0.0944,0.9722
0.0061,0.9966,0.0921,0.9732
0.0048,0.9977,0.0930,0.9758
0.0031,0.9978,0.0950,0.9764
0.0051,0.9964,0.0940,0.9774
0.0020,0.9995,0.0986,0.9785
0.0037,0.9977,0.1006,0.9774
0.0041,0.9978,0.0965,0.9779
0.0030,0.9985,0.0992,0.9800
0.0028,0.9985,0.0991,0.9790
0.0024,0.9981,0.1050,0.9774
0.0034,0.9980,0.1044,0.9790
0.0027,0.9986,0.1031,0.9774
0.0014,0.9990,0.1054,0.9769
0.0011,0.9990,0.1129,0.9785
0.0010,0.9991,0.1200,0.9785
0.0010,0.9994,0.1200,0.9779
0.0008,0.9995,0.1256,0.9785
0.0029,0.9982,0.1167,0.9790
0.0016,0.9990,0.1166,0.9790
0.0015,0.9990,0.1182,0.9790
0.0013,0.9990,0.1194,0.9785
0.0008,0.9995,0.1191,0.9790
0.0012,0.9994,0.1310,0.9764
0.0011,0.9991,0.1335,0.9779
0.0004,0.9999,0.1339,0.9779
0.0014,0.9991,0.1283,0.9785
0.0006,0.9997,0.1273,0.9785
0.0011,0.9992,0.1311,0.9758
0.0004,0.9996,0.1389,0.9779
0.0017,0.9992,0.1401,0.9769
0.0010,0.9996,0.1405,0.9774
0.0005,0.9997,0.1447,0.9790
0.0016,0.9991,0.1424,0.9779
0.0009,0.9996,0.1288,0.9795
0.0004,0.9997,0.1321,0.9800
0.0007,0.9994,0.1394,0.9779
0.0003,0.9997,0.1396,0.9811
0.0005,0.9999,0.1342,0.9795
0.0008,0.9996,0.1444,0.9785
0.0010,0.9991,0.1332,0.9779
0.0011,0.9991,0.1377,0.9774
0.0011,0.9995,0.1422,0.9779
0.0010,0.9997,0.1404,0.9785
0.0005,0.9999,0.1398,0.9785
0.0002,0.9997,0.1443,0.9774
0.0005,0.9995,0.1446,0.9774
0.0003,0.9997,0.1534,0.9790
0.0012,0.9992,0.1370,0.9785
0.0010,0.9996,0.1373,0.9764
