train_loss,train_accuracy,valid_loss,valid_accuracy
0.2478,0.8999,0.1299,0.9433
0.2096,0.9132,0.1676,0.9396
0.1614,0.9294,0.1050,0.9611
0.1166,0.9457,0.0898,0.9664
0.0902,0.9572,0.1025,0.9543
0.1010,0.9560,0.0820,0.9716
0.0877,0.9591,0.0827,0.9674
0.0768,0.9639,0.0725,0.9727
0.0695,0.9667,0.0734,0.9685
0.0698,0.9680,0.0752,0.9748
0.0669,0.9681,0.0684,0.9732
0.0868,0.9633,0.1509,0.9459
0.1163,0.9475,0.0631,0.9758
0.0648,0.9695,0.0771,0.9769
0.0586,0.9716,0.0948,0.9680
0.0586,0.9694,0.0853,0.9800
0.0446,0.9776,0.0756,0.9774
0.0534,0.9746,0.0874,0.9737
0.0591,0.9719,0.0649,0.9779
0.0575,0.9714,0.0559,0.9743
0.0618,0.9705,0.0664,0.9690
0.0453,0.9779,0.1001,0.9711
0.0383,0.9792,0.1162,0.9701
0.0613,0.9704,0.0593,0.9785
0.0430,0.9800,0.0749,0.9774
0.0493,0.9762,0.0615,0.9769
0.0386,0.9811,0.1127,0.9695
0.0434,0.9777,0.0885,0.9659
0.0519,0.9732,0.0836,0.9674
0.0329,0.9807,0.0797,0.9753
0.0496,0.9782,0.0761,0.9722
0.0412,0.9790,0.0477,0.9806
0.0427,0.9782,0.0901,0.9664
0.1350,0.9504,0.0875,0.9648
0.0518,0.9759,0.0610,0.9779
0.0404,0.9799,0.0694,0.9722
0.0385,0.9801,0.0750,0.9753
0.0387,0.9838,0.0695,0.9743
0.0460,0.9746,0.0970,0.9764
0.0317,0.9832,0.0556,0.9806
0.0367,0.9847,0.0529,0.9790
0.0278,0.9847,0.0636,0.9795
0.0261,0.9867,0.0654,0.9806
0.0345,0.9843,0.0600,0.9774
0.0283,0.9860,0.0639,0.9790
0.0351,0.9838,0.0838,0.9743
0.0498,0.9807,0.0646,0.9743
0.0346,0.9828,0.0661,0.9769
0.0310,0.9839,0.0690,0.9737
0.0261,0.9879,0.0578,0.9795
0.0234,0.9879,0.0650,0.9774
0.0188,0.9909,0.0654,0.9769
0.0191,0.9897,0.0574,0.9790
0.0220,0.9895,0.0577,0.9774
0.0134,0.9920,0.0607,0.9785
0.0142,0.9909,0.0647,0.9779
0.0142,0.9916,0.0609,0.9785
0.0166,0.9908,0.0597,0.9795
0.0143,0.9907,0.0591,0.9790
0.0135,0.9943,0.0626,0.9785
0.0112,0.9936,0.0612,0.9795
0.0131,0.9923,0.0524,0.9827
0.0126,0.9925,0.0521,0.9832
0.0120,0.9940,0.0521,0.9848
0.0127,0.9931,0.0519,0.9832
0.0124,0.9927,0.0566,0.9806
0.0105,0.9934,0.0594,0.9806
0.0099,0.9922,0.0589,0.9811
0.0115,0.9923,0.0633,0.9795
0.0135,0.9926,0.0584,0.9811
0.0093,0.9944,0.0609,0.9800
0.0104,0.9944,0.0517,0.9821
0.0088,0.9950,0.0653,0.9790
0.0081,0.9949,0.0541,0.9832
0.0078,0.9952,0.0611,0.9806
0.0117,0.9938,0.0597,0.9811
0.0079,0.9950,0.0618,0.9800
0.0095,0.9932,0.0688,0.9800
0.0078,0.9945,0.0684,0.9811
0.0109,0.9955,0.0592,0.9827
0.0104,0.9955,0.0556,0.9832
0.0080,0.9955,0.0579,0.9837
0.0073,0.9949,0.0564,0.9853
0.0070,0.9959,0.0562,0.9858
0.0052,0.9969,0.0640,0.9842
0.0064,0.9958,0.0832,0.9790
0.0087,0.9955,0.0636,0.9842
0.0074,0.9959,0.0617,0.9837
0.0062,0.9964,0.0758,0.9811
0.0074,0.9954,0.0624,0.9858
0.0085,0.9944,0.0706,0.9816
0.0061,0.9955,0.0760,0.9821
0.0072,0.9952,0.0688,0.9832
0.0067,0.9954,0.0544,0.9853
0.0079,0.9964,0.0702,0.9837
0.0069,0.9962,0.0738,0.9816
0.0065,0.9968,0.0612,0.9848
0.0052,0.9963,0.0690,0.9821
0.0055,0.9963,0.0692,0.9821
0.0048,0.9974,0.0799,0.9795
