train_loss,train_accuracy,valid_loss,valid_accuracy
0.3744,0.8486,0.1837,0.9265
0.1798,0.9217,0.1094,0.9590
0.1680,0.9245,0.0957,0.9617
0.1144,0.9505,0.0997,0.9585
0.1228,0.9439,0.1018,0.9569
0.1243,0.9404,0.1232,0.9480
0.1063,0.9563,0.1203,0.9454
0.1035,0.9565,0.0720,0.9758
0.0884,0.9623,0.0716,0.9711
0.0614,0.9698,0.0568,0.9769
0.0758,0.9638,0.0555,0.9758
0.0651,0.9662,0.0958,0.9627
0.0712,0.9661,0.0622,0.9737
0.0687,0.9684,0.0474,0.9774
0.0725,0.9697,0.0611,0.9722
0.0534,0.9751,0.0483,0.9832
0.0551,0.9733,0.0735,0.9701
0.0517,0.9726,0.0448,0.9848
0.0682,0.9695,0.0559,0.9769
0.0584,0.9741,0.0655,0.9790
0.0575,0.9742,0.0473,0.9816
0.0572,0.9736,0.0626,0.9690
0.0622,0.9676,0.0481,0.9816
0.0466,0.9797,0.0488,0.9779
0.0594,0.9742,0.0494,0.9790
0.0401,0.9778,0.0391,0.9842
0.0405,0.9816,0.0444,0.9795
0.0413,0.9802,0.0488,0.9753
0.0413,0.9799,0.0507,0.9764
0.0440,0.9791,0.0425,0.9800
0.0318,0.9834,0.0701,0.9701
0.0400,0.9800,0.0469,0.9774
0.0474,0.9783,0.0587,0.9737
0.0610,0.9740,0.0409,0.9811
0.0447,0.9787,0.0423,0.9774
0.0429,0.9827,0.0461,0.9790
0.0349,0.9819,0.0538,0.9779
0.0250,0.9857,0.0417,0.9848
0.0364,0.9852,0.0394,0.9863
0.0285,0.9821,0.0399,0.9863
0.0459,0.9790,0.0536,0.9758
0.0324,0.9843,0.0474,0.9790
0.0369,0.9830,0.0458,0.9811
0.0365,0.9824,0.1041,0.9659
0.0361,0.9824,0.0779,0.9774
0.0332,0.9832,0.0677,0.9748
0.0315,0.9858,0.0468,0.9806
0.0286,0.9879,0.0670,0.9790
0.0288,0.9861,0.0550,0.9774
0.0432,0.9805,0.0510,0.9769
0.0227,0.9895,0.0355,0.9837
0.0164,0.9913,0.0400,0.9806
0.0158,0.9920,0.0351,0.9858
0.0134,0.9929,0.0390,0.9816
0.0158,0.9920,0.0384,0.9816
0.0124,0.9929,0.0357,0.9832
0.0145,0.9930,0.0363,0.9837
0.0097,0.9943,0.0388,0.9827
0.0088,0.9952,0.0440,0.9806
0.0100,0.9952,0.0452,0.9816
0.0128,0.9927,0.0417,0.9816
0.0123,0.9941,0.0420,0.9827
0.0090,0.9952,0.0428,0.9811
0.0100,0.9948,0.0412,0.9842
0.0094,0.9940,0.0424,0.9837
0.0094,0.9953,0.0423,0.9848
0.0097,0.9938,0.0471,0.9832
0.0097,0.9950,0.0428,0.9837
0.0084,0.9959,0.0493,0.9816
0.0081,0.9946,0.0470,0.9816
0.0123,0.9939,0.0435,0.9832
0.0080,0.9954,0.0455,0.9832
0.0089,0.9949,0.0481,0.9832
0.0120,0.9946,0.0483,0.9832
0.0067,0.9954,0.0496,0.9827
0.0083,0.9955,0.0488,0.9832
0.0068,0.9958,0.0490,0.9837
0.0059,0.9966,0.0413,0.9821
0.0120,0.9939,0.0427,0.9837
0.0085,0.9958,0.0470,0.9811
0.0061,0.9976,0.0481,0.9832
0.0092,0.9958,0.0506,0.9821
0.0107,0.9960,0.0492,0.9827
0.0082,0.9969,0.0504,0.9837
0.0066,0.9962,0.0516,0.9832
0.0080,0.9955,0.0512,0.9842
0.0082,0.9968,0.0546,0.9821
0.0070,0.9967,0.0527,0.9811
0.0052,0.9971,0.0485,0.9842
0.0045,0.9976,0.0533,0.9832
0.0065,0.9973,0.0548,0.9816
0.0080,0.9969,0.0588,0.9816
0.0047,0.9972,0.0466,0.9842
0.0063,0.9969,0.0509,0.9827
0.0036,0.9976,0.0601,0.9816
0.0053,0.9969,0.0626,0.9827
0.0070,0.9968,0.0646,0.9816
0.0074,0.9960,0.0604,0.9837
0.0051,0.9974,0.0652,0.9821
0.0049,0.9966,0.0712,0.9806
