train_loss,train_accuracy,valid_loss,valid_accuracy
0.2749,0.8957,0.1552,0.9401
0.1673,0.9301,0.0879,0.9622
0.1334,0.9431,0.0855,0.9653
0.1112,0.9490,0.1138,0.9575
0.1139,0.9480,0.1430,0.9522
0.1034,0.9565,0.0773,0.9716
0.0919,0.9591,0.0616,0.9758
0.0950,0.9600,0.0917,0.9580
0.0976,0.9602,0.0926,0.9580
0.0940,0.9600,0.0828,0.9638
0.0731,0.9663,0.0897,0.9706
0.0903,0.9601,0.0759,0.9674
0.0949,0.9609,0.0830,0.9659
0.0742,0.9674,0.0706,0.9748
0.0830,0.9653,0.0580,0.9758
0.0728,0.9668,0.0770,0.9727
0.0590,0.9744,0.0589,0.9790
0.0640,0.9684,0.0544,0.9764
0.0474,0.9765,0.0796,0.9716
0.0547,0.9760,0.0672,0.9758
0.0575,0.9746,0.0766,0.9753
0.0546,0.9750,0.0444,0.9811
0.0789,0.9658,0.0697,0.9690
0.0644,0.9709,0.0646,0.9758
0.0545,0.9758,0.0920,0.9716
0.0585,0.9746,0.0587,0.9790
0.0575,0.9763,0.0855,0.9669
0.0447,0.9781,0.0571,0.9800
0.0624,0.9737,0.0858,0.9690
0.0432,0.9777,0.0566,0.9816
0.0472,0.9776,0.0752,0.9748
0.0422,0.9797,0.0520,0.9821
0.0419,0.9768,0.0626,0.9811
0.0833,0.9654,0.1110,0.9638
0.0569,0.9731,0.0605,0.9827
0.0359,0.9819,0.0469,0.9863
0.0524,0.9754,0.0632,0.9795
0.0456,0.9773,0.0558,0.9790
0.0377,0.9824,0.0644,0.9811
0.0472,0.9796,0.0519,0.9832
0.0426,0.9776,0.0758,0.9785
0.0502,0.9770,0.0636,0.9816
0.0459,0.9765,0.0604,0.9790
0.0419,0.9809,0.0810,0.9774
0.0533,0.9768,0.0431,0.9832
0.0374,0.9841,0.0703,0.9774
0.0241,0.9862,0.0739,0.9774
0.0567,0.9726,0.0630,0.9790
0.0382,0.9844,0.0645,0.9800
0.0491,0.9811,0.0486,0.9821
0.0298,0.9871,0.0490,0.9832
0.0229,0.9880,0.0494,0.9832
0.0251,0.9906,0.0536,0.9827
0.0186,0.9897,0.0462,0.9837
0.0247,0.9889,0.0554,0.9827
0.0236,0.9872,0.0497,0.9848
0.0186,0.9906,0.0477,0.9853
0.0170,0.9906,0.0524,0.9827
0.0172,0.9906,0.0521,0.9853
0.0145,0.9915,0.0517,0.9853
0.0156,0.9911,0.0536,0.9848
0.0171,0.9902,0.0627,0.9800
0.0236,0.9875,0.0569,0.9832
0.0110,0.9938,0.0572,0.9842
0.0206,0.9894,0.0651,0.9837
0.0188,0.9926,0.0618,0.9837
0.0163,0.9930,0.0628,0.9837
0.0166,0.9913,0.0532,0.9837
0.0188,0.9889,0.0545,0.9837
0.0181,0.9923,0.0622,0.9842
0.0138,0.9936,0.0575,0.9842
0.0267,0.9883,0.0499,0.9842
0.0168,0.9936,0.0590,0.9832
0.0149,0.9929,0.0571,0.9848
0.0154,0.9925,0.0620,0.9848
0.0160,0.9926,0.0545,0.9848
0.0133,0.9920,0.0633,0.9842
0.0216,0.9930,0.0540,0.9858
0.0172,0.9903,0.0575,0.9848
0.0118,0.9939,0.0651,0.9837
0.0156,0.9929,0.0619,0.9848
0.0151,0.9927,0.0664,0.9842
0.0160,0.9927,0.0559,0.9858
0.0113,0.9935,0.0647,0.9853
0.0140,0.9932,0.0607,0.9853
0.0127,0.9939,0.0594,0.9848
0.0149,0.9934,0.0594,0.9863
0.0136,0.9920,0.0608,0.9842
0.0140,0.9935,0.0588,0.9837
0.0102,0.9936,0.0630,0.9848
0.0131,0.9930,0.0600,0.9842
0.0100,0.9930,0.0669,0.9837
0.0149,0.9926,0.0634,0.9837
0.0100,0.9935,0.0618,0.9837
0.0076,0.9955,0.0614,0.9837
0.0112,0.9941,0.0640,0.9842
0.0148,0.9931,0.0555,0.9827
0.0128,0.9932,0.0518,0.9853
0.0050,0.9974,0.0652,0.9832
0.0107,0.9939,0.0785,0.9821
