train_loss,train_accuracy,valid_loss,valid_accuracy
0.3414,0.8497,0.1251,0.9438
0.1785,0.9190,0.1444,0.9391
0.1882,0.9265,0.0966,0.9554
0.1388,0.9387,0.0799,0.9669
0.1245,0.9462,0.1027,0.9590
0.1512,0.9410,0.1408,0.9375
0.1398,0.9413,0.0761,0.9758
0.1256,0.9517,0.0773,0.9701
0.1024,0.9513,0.0680,0.9722
0.0952,0.9600,0.0617,0.9758
0.0915,0.9596,0.0624,0.9779
0.0848,0.9614,0.0672,0.9753
0.0945,0.9574,0.1038,0.9543
0.0861,0.9629,0.0882,0.9727
0.0927,0.9606,0.0836,0.9774
0.0854,0.9648,0.0644,0.9800
0.1220,0.9512,0.0620,0.9737
0.1042,0.9564,0.0721,0.9758
0.0862,0.9623,0.0543,0.9764
0.0836,0.9652,0.0571,0.9753
0.0779,0.9638,0.0662,0.9753
0.0972,0.9560,0.0591,0.9753
0.0865,0.9654,0.0893,0.9706
0.0690,0.9674,0.0581,0.9779
0.0622,0.9713,0.0522,0.9800
0.0575,0.9737,0.0691,0.9743
0.0769,0.9674,0.0560,0.9748
0.0531,0.9753,0.0646,0.9706
0.0589,0.9730,0.0709,0.9701
0.0616,0.9732,0.0663,0.9790
0.0675,0.9723,0.0652,0.9732
0.0614,0.9722,0.0683,0.9769
0.0573,0.9698,0.0601,0.9748
0.0522,0.9773,0.0809,0.9743
0.0524,0.9777,0.0675,0.9743
0.0668,0.9652,0.0587,0.9774
0.0544,0.9699,0.0558,0.9774
0.0466,0.9769,0.0625,0.9748
0.0529,0.9758,0.0785,0.9674
0.0582,0.9722,0.0557,0.9753
0.0706,0.9698,0.0622,0.9748
0.0940,0.9684,0.0680,0.9743
0.0619,0.9689,0.0682,0.9722
0.0590,0.9742,0.0570,0.9816
0.0552,0.9774,0.0679,0.9769
0.0498,0.9774,0.0585,0.9800
0.0468,0.9799,0.0733,0.9758
0.0447,0.9805,0.0776,0.9785
0.0484,0.9774,0.0628,0.9764
0.0383,0.9828,0.0654,0.9785
0.0348,0.9855,0.0608,0.9811
0.0275,0.9878,0.0598,0.9811
0.0251,0.9879,0.0589,0.9821
0.0270,0.9876,0.0585,0.9811
0.0308,0.9875,0.0601,0.9816
0.0223,0.9902,0.0608,0.9811
0.0348,0.9876,0.0573,0.9806
0.0290,0.9874,0.0586,0.9827
0.0310,0.9874,0.0563,0.9816
0.0300,0.9875,0.0537,0.9816
0.0342,0.9867,0.0528,0.9827
0.0277,0.9889,0.0533,0.9832
0.0282,0.9870,0.0529,0.9842
0.0254,0.9894,0.0560,0.9832
0.0322,0.9857,0.0599,0.9821
0.0209,0.9904,0.0591,0.9837
0.0309,0.9856,0.0600,0.9837
0.0310,0.9872,0.0580,0.9858
0.0413,0.9834,0.0544,0.9827
0.0244,0.9899,0.0549,0.9853
0.0301,0.9883,0.0541,0.9848
0.0184,0.9935,0.0581,0.9837
0.0176,0.9915,0.0599,0.9853
0.0239,0.9894,0.0582,0.9842
0.0208,0.9901,0.0540,0.9837
0.0216,0.9885,0.0588,0.9811
0.0273,0.9894,0.0630,0.9832
0.0228,0.9901,0.0624,0.9842
0.0181,0.9916,0.0589,0.9842
0.0265,0.9879,0.0612,0.9853
0.0168,0.9925,0.0582,0.9832
0.0220,0.9904,0.0599,0.9832
0.0123,0.9945,0.0605,0.9842
0.0246,0.9897,0.0605,0.9837
0.0170,0.9904,0.0614,0.9848
0.0202,0.9916,0.0632,0.9832
0.0252,0.9897,0.0625,0.9811
0.0278,0.9875,0.0643,0.9816
0.0336,0.9876,0.0624,0.9811
0.0172,0.9931,0.0654,0.9816
0.0229,0.9906,0.0659,0.9811
0.0196,0.9894,0.0681,0.9827
0.0245,0.9911,0.0627,0.9821
0.0211,0.9901,0.0648,0.9827
0.0265,0.9880,0.0662,0.9821
0.0244,0.9897,0.0643,0.9842
0.0207,0.9913,0.0608,0.9842
0.0250,0.9897,0.0614,0.9874
0.0238,0.9916,0.0588,0.9837
0.0212,0.9925,0.0580,0.9842
